,Station,River,Location,Nominal_Easting,Nominal_Northing,Easting,Northing,Ceasting,Cnorthing,Grid,DTM_Area,AREA/DPLBAR,Assessment Level,ALTBAR,ASPBAR,ASPVAR,BFIHOST,DPLBAR,DPSBAR,DPSBAR (m/m),Assessment Level,FARL,FPEXT,LDP,PROPWET,RMED1H,RMED1D,RMED2D,SAAR,SAAR4170,SPRHOST,Assessment Level,URBCONC1990,URBEXT1990,URBLOC1990,URBCONC2000,URBEXT2000,Assessment Level,URBLOC2000,suitQMED,suitPool,QMED,N_AM,hyd_area,Map,Ireland,SCORE,prop.summer,Tp
511,45818,Withiel Florey Stream,Bessom Bridge,2980,1326,298050,132650,299146,134045,GB,9.55,3.659003831,3,338,214,0.37,0.578,2.61,103.6,0.1036,3,1,0.0055,4.61,0.42,11.9,44.2,61.5,1271,1340,32.48,2,-9999,0,-9999,-9999,0,0,-9999,YES,NO,4.179,27,45,9,FALSE,8,0.185185185,1.947450576
512,46003,Dart,Austins Bridge,2751,658,275150,65850,267333,74033,GB,249.99,12.35739001,0,327,131,0.15,0.523,20.23,121.1,0.1211,3,0.995,0.036,38.83,0.47,13.8,63.1,83.1,1771,1703,32.88,2,-9999,0.0036,-9999,0.683,0.0067,0,0.367,YES,YES,231.2,61,46,9,FALSE,5,0.081967213,5.567273062
513,46005,East Dart,Bellever,2657,775,265700,77550,263052,81181,GB,22.27,3.447368421,3,459,145,0.25,0.363,6.46,95,0.095,2,1,0.042,13.73,0.46,14.2,67.1,91.2,2095,1998,47.42,3,-9999,0,-9999,-9999,4.00E-04,0,-9999,YES,YES,39.242,55,46,9,FALSE,8,0.218181818,3.112400405
514,46006,Erme,Ermington,2641,532,264150,53200,263757,60802,GB,43.62,4.08809747,3,272,207,0.28,0.472,10.67,100.7,0.1007,3,0.995,0.0351,20.93,0.47,13.5,58.3,76.8,1714,1722,38.29,3,0.546,0.0169,0.419,0.813,0.0316,0,0.42,YES,YES,49.78,45,46,9,FALSE,9,0.155555556,3.821897074
515,46007,West Dart,Dunnabridge,2643,741,264350,74200,260715,76572,GB,47.5,6.08974359,2,424,143,0.23,0.367,7.8,86.5,0.0865,2,1,0.0489,14.36,0.47,14.2,66.2,87.8,1987,1890,47.75,3,-9999,0.0022,-9999,-9999,0.0033,0,-9999,YES,YES,70.1385,38,46,9,FALSE,7,0.105263158,3.469305096
516,46008,Avon,Loddiswell,2718,475,271900,47600,270508,57803,GB,102.22,6.49015873,2,202,154,0.17,0.554,15.75,124,0.124,3,0.986,0.0299,32.91,0.47,12.9,53.4,70.7,1550,1605,32.89,2,-9999,0.0035,-9999,0.702,0.0063,0,0.858,YES,YES,63.05,39,46,9,FALSE,7,0.128205128,4.760802416
517,46013,Bovey,Bovey Parke,2809,786,281000,78700,274794,82178,GB,86.95,8.095903166,0,261,74,0.11,0.681,10.74,141.7,0.1417,3,0.997,0.0219,21.91,0.46,12.9,53.7,72.8,1356,1357,13.8,1,-9999,0.001,-9999,-9999,0.0035,0,-9999,YES,YES,24.86,15,46,9,FALSE,4,0,3.762597424
518,46014,Teign,Chudleigh,2857,785,285750,78500,275874,87357,GB,232.28,10.23710886,0,227,88,0.13,0.575,22.69,136.7,0.1367,3,0.976,0.027,45.25,0.46,12.3,46.6,63.2,1228,1212,27.24,2,-9999,0.0013,-9999,-9999,0.005,0,-9999,YES,YES,84.1,15,46,9,FALSE,5,0,5.947296537
519,47001,Tamar,Gunnislake,2426,725,242650,72550,234597,90511,GB,920.22,22.73832468,1,155,218,0.03,0.481,40.47,86.4,0.0864,2,0.993,0.044,74.18,0.49,12.2,40.1,52.7,1215,1240,37,3,-9999,0.0034,-9999,-9999,0.0047,0,-9999,YES,YES,263.788,63,47,9,FALSE,6,0.079365079,8.870405283
520,47004,Lynher,Pillaton Mill,2368,625,236850,62550,229410,72589,GB,135.29,7.507769145,2,175,130,0.08,0.549,18.02,107.1,0.1071,3,0.996,0.0339,35.22,0.48,12.4,45.5,61,1423,1498,33.77,2,0.597,0.008,0.759,0.744,0.008,0,0.73,YES,YES,43.177,58,47,9,FALSE,7,0.103448276,5.177561814
521,47005,Ottery,Werrington Park,2337,866,233700,86650,223680,91033,GB,121.66,7.445532436,2,148,76,0.13,0.45,16.34,71.2,0.0712,2,0.999,0.0465,29.25,0.49,12.2,39,53.8,1199,1204,38.95,3,-9999,0.0027,-9999,0.654,0.0051,0,0.747,YES,YES,62.162,36,47,9,FALSE,7,0.111111111,5.446989202
522,47006,Lyd,Lifton Park,2388,842,238850,84250,246585,88525,GB,220.39,15.92413295,1,187,269,0.19,0.485,13.84,104.8,0.1048,3,0.996,0.035,24.84,0.5,12.3,41.6,53.7,1228,1299,36.3,3,-9999,2.00E-04,-9999,-9999,0.0018,0,-9999,YES,YES,76.648,50,47,9,FALSE,7,0.1,4.36453227
523,47007,Yealm,Puslinch,2574,511,257400,51100,260298,57993,GB,56.91,5.461612284,2,169,196,0.28,0.549,10.42,104.3,0.1043,3,0.987,0.0321,19.13,0.47,12.5,48.1,63.2,1427,1482,33.26,2,0.593,0.0117,0.52,0.723,0.0171,0,0.603,YES,NO,40.245,56,47,9,FALSE,7,0.160714286,3.795474808
524,47008,Thrushel,Tinhay,2397,855,239750,85500,245181,91619,GB,112.72,9.725625539,0,162,225,0.17,0.422,11.59,89.5,0.0895,2,0.999,0.0363,21.99,0.5,12,38.5,49.1,1144,1228,39.11,3,-9999,0,-9999,-9999,0.001,0,-9999,YES,YES,39.956,50,47,9,FALSE,5,0.1,4.103806786
525,47009,Tiddy,Tideford,2344,596,234450,59600,231069,64364,GB,37.4,4.533333333,3,109,150,0.2,0.591,8.25,121.2,0.1212,3,1,0.0237,15.76,0.48,11.8,41.7,55.2,1276,1348,30.81,2,0.552,0.0074,1.564,0.725,0.0107,0,1.36,YES,YES,6.8435,50,47,9,FALSE,8,0.08,3.135947503
527,47011,Plym,Carn Wood,2521,611,252150,61200,256353,66803,GB,79.5,6.812339332,2,277,249,0.29,0.481,11.67,104,0.104,3,0.95,0.0282,20.56,0.48,13.3,54,68,1617,1588,38.28,3,0.502,0.0076,0.724,0.67,0.0067,0,0.683,YES,NO,46.2,29,47,9,FALSE,8,0.068965517,4.027748808
528,47013,Withey Brook,Bastreet,2244,763,224400,76400,223219,75242,GB,13.95,3.81147541,3,288,300,0.03,0.368,3.66,82.2,0.0822,2,0.998,0.0619,6.85,0.48,13,48.8,66.8,1686,1777,49.11,3,-9999,0,-9999,-9999,0,0,-9999,YES,NO,10.125,47,47,9,FALSE,8,0.191489362,2.200372416
529,47014,Walkham,Horrabridge,2513,698,251300,69900,254969,73835,GB,44.24,5.745454545,2,318,245,0.34,0.585,7.7,109,0.109,3,1,0.0226,17.61,0.48,13.2,54.7,70.2,1665,1665,26.16,2,0.6,0.0107,0.329,0.704,0.0078,0,0.256,YES,YES,39.715,45,47,9,FALSE,7,0.111111111,3.065831611
531,47020,Inny,Bealsmill,2359,770,235900,77050,224007,81817,GB,101.98,5.646733112,2,201,90,0.16,0.576,18.06,89.7,0.0897,2,1,0.0358,32.05,0.47,12.6,44.9,61.5,1429,1391,34,2,-9999,0.0034,-9999,-9999,0.004,0,-9999,YES,YES,33.943,35,47,9,FALSE,6,0.057142857,5.660609733
